resample,threshold,oob_cpwer,oob_compute,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
368,0.01,0.802892,1.314729,34,25,0.441558,0.735294
369,0.01,0.862123,1.308182,25,18,0.324675,0.72
370,0.01,0.774889,1.361151,32,27,0.415584,0.84375
371,0.01,0.791777,1.36218,26,22,0.337662,0.846154
372,0.01,0.740637,1.350207,33,27,0.428571,0.818182
373,0.01,0.737842,1.359546,25,21,0.324675,0.84
374,0.01,0.795635,1.356693,30,25,0.38961,0.833333
375,0.01,0.812787,1.361151,32,27,0.415584,0.84375
376,0.01,0.696866,1.385228,30,27,0.38961,0.9
377,0.01,0.810984,1.36218,26,22,0.337662,0.846154
378,0.01,0.688873,1.398512,29,27,0.376623,0.931034
379,0.01,0.827367,1.366884,21,18,0.272727,0.857143
380,0.01,0.771584,1.347775,32,26,0.415584,0.8125
381,0.01,0.866479,1.351597,28,23,0.363636,0.821429
382,0.01,0.802112,1.316371,23,17,0.298701,0.73913
383,0.01,0.792592,1.351597,28,23,0.363636,0.821429
384,0.01,0.814553,1.392362,24,22,0.311688,0.916667
385,0.01,0.809076,1.352496,34,28,0.441558,0.823529
386,0.01,0.75606,1.378643,26,23,0.337662,0.884615
387,0.01,0.770095,1.383752,29,26,0.376623,0.896552
388,0.01,0.837001,1.378643,26,23,0.337662,0.884615
389,0.01,0.752292,1.366884,35,30,0.454545,0.857143
390,0.01,0.718566,1.339473,29,23,0.376623,0.793103
391,0.01,0.85365,1.382171,28,25,0.363636,0.892857
392,0.01,0.733256,1.342425,20,16,0.25974,0.8
393,0.01,0.80909,1.358994,31,26,0.402597,0.83871
394,0.01,0.703003,1.364619,27,23,0.350649,0.851852
395,0.01,0.831811,1.309953,29,21,0.376623,0.724138
396,0.01,0.80109,1.376148,33,29,0.428571,0.878788
397,0.01,0.908388,1.36218,26,22,0.337662,0.846154
398,0.01,0.782626,1.358994,31,26,0.402597,0.83871
399,0.01,0.734512,1.354233,29,24,0.376623,0.827586
400,0.01,0.773411,1.393789,25,23,0.324675,0.92
401,0.01,0.757394,1.331379,31,24,0.402597,0.774194
402,0.01,0.721254,1.351597,28,23,0.363636,0.821429
403,0.01,0.850708,1.308182,25,18,0.324675,0.72
404,0.01,0.785039,1.321023,28,21,0.363636,0.75
405,0.01,0.728493,1.309953,29,21,0.376623,0.724138
406,0.01,0.825849,1.305736,28,20,0.363636,0.714286
407,0.01,0.779382,1.378643,26,23,0.337662,0.884615
408,0.01,0.700587,1.369663,22,19,0.285714,0.863636
409,0.01,0.800931,1.354233,29,24,0.376623,0.827586
410,0.01,0.805448,1.378643,26,23,0.337662,0.884615
411,0.01,0.769104,1.348766,27,22,0.350649,0.814815
412,0.01,0.804727,1.364619,27,23,0.350649,0.851852
413,0.01,0.777387,1.350207,33,27,0.428571,0.818182
414,0.01,0.767583,1.376148,33,29,0.428571,0.878788
415,0.01,0.791826,1.345717,26,21,0.337662,0.807692
416,0.01,0.819269,1.325304,25,19,0.324675,0.76
417,0.01,0.755847,1.364619,27,23,0.350649,0.851852
418,0.01,0.741244,1.345186,31,25,0.402597,0.806452
419,0.01,0.716372,1.345717,26,21,0.337662,0.807692
420,0.01,0.835905,1.351597,28,23,0.363636,0.821429
421,0.01,0.710787,1.378643,26,23,0.337662,0.884615
422,0.01,0.712406,1.356693,30,25,0.38961,0.833333
423,0.01,0.769332,1.325304,25,19,0.324675,0.76
424,0.01,0.759903,1.332913,27,21,0.350649,0.777778
425,0.01,0.722212,1.354233,29,24,0.376623,0.827586
426,0.01,0.792547,1.366884,28,24,0.363636,0.857143
427,0.01,0.751884,1.364619,27,23,0.350649,0.851852
428,0.01,0.862386,1.368992,29,25,0.376623,0.862069
429,0.01,0.790784,1.308182,25,18,0.324675,0.72
430,0.01,0.828262,1.351597,28,23,0.363636,0.821429
431,0.01,0.765885,1.33631,28,22,0.363636,0.785714
432,0.01,0.812238,1.37096,30,26,0.38961,0.866667
433,0.01,0.746642,1.382171,28,25,0.363636,0.892857
434,0.01,0.832225,1.317571,31,23,0.402597,0.741935
435,0.01,0.75493,1.296329,26,18,0.337662,0.692308
436,0.01,0.67685,1.331379,31,24,0.402597,0.774194
437,0.01,0.734955,1.37096,30,26,0.38961,0.866667
438,0.01,0.785015,1.329255,26,20,0.337662,0.769231
439,0.01,0.73143,1.356693,24,20,0.311688,0.833333
440,0.01,0.728563,1.321023,24,18,0.311688,0.75
441,0.01,0.820733,1.312792,26,19,0.337662,0.730769
442,0.01,0.776466,1.325304,25,19,0.324675,0.76
443,0.01,0.783661,1.385228,30,27,0.38961,0.9
444,0.01,0.850759,1.291061,25,17,0.324675,0.68
445,0.01,0.768778,1.372801,31,27,0.402597,0.870968
446,0.01,0.844006,1.329255,26,20,0.337662,0.769231
447,0.01,0.741315,1.364619,27,23,0.350649,0.851852
448,0.01,0.817843,1.36218,26,22,0.337662,0.846154
449,0.01,0.87486,1.309953,29,21,0.376623,0.724138
450,0.01,0.727905,1.342425,25,20,0.324675,0.8
451,0.01,0.852006,1.337237,33,26,0.428571,0.787879
452,0.01,0.732021,1.380472,27,24,0.350649,0.888889
453,0.01,0.795526,1.348766,27,22,0.350649,0.814815
454,0.01,0.780994,1.348766,27,22,0.350649,0.814815
455,0.01,0.88062,1.325304,25,19,0.324675,0.76
