pair_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
10,0.6,None,0.8571,0.7692,0.384615,0.435897,0.410256,0.384615,0.384615,1,1,1
10,0.6,20.0,0.9176,0.7632,0.384615,0.358974,0.358974,0.358974,0.358974,0,1,1
10,0.6,10.0,0.907,0.75,0.615385,0.538462,0.538462,0.487179,0.589744,0,1,1
10,0.6,5.0,0.9398,0.7857,0.769231,0.589744,0.589744,0.538462,0.538462,0,1,1
10,0.6,0.0,2.6364,1.35,1.0,1.076923,1.076923,1.076923,0.871795,0,0,1
11,0.0,None,0.8036,15.8182,0.333333,6.033333,0.533333,0.533333,0.533333,1,1,1
11,0.0,20.0,0.8036,0.8571,0.266667,0.533333,0.533333,0.5,0.5,0,1,1
11,0.0,10.0,0.7925,0.78,0.266667,0.5,0.5,0.5,0.5,0,1,1
11,0.0,5.0,0.7925,0.8182,0.533333,0.5,0.5,0.533333,0.566667,0,1,1
11,0.0,0.0,0.766,0.807,0.666667,0.866667,0.866667,0.866667,0.833333,0,0,1
11,0.1,None,0.8036,29.087,0.233333,7.666667,0.533333,0.433333,0.433333,1,1,1
11,0.1,20.0,0.7925,0.8571,0.233333,0.533333,0.533333,0.3,0.3,0,1,1
11,0.1,10.0,0.7925,0.7925,0.366667,0.433333,0.433333,0.533333,0.533333,0,1,1
11,0.1,5.0,0.7925,0.7925,0.566667,0.4,0.4,0.4,0.6,0,1,1
11,0.1,0.0,0.75,0.8571,0.6,0.633333,0.633333,0.633333,0.9,0,0,1
11,0.3,None,0.8036,0.8571,0.266667,0.5,0.533333,0.533333,0.333333,1,1,1
11,0.3,20.0,0.8036,1.3929,0.233333,0.866667,0.866667,0.466667,0.466667,0,1,1
11,0.3,10.0,0.7925,0.7925,0.333333,0.5,0.5,0.5,0.5,0,1,1
11,0.3,5.0,0.7925,0.7925,0.533333,0.5,0.5,0.566667,0.566667,0,1,1
11,0.3,0.0,0.7556,0.8182,0.733333,0.766667,0.766667,0.766667,0.766667,0,0,1
11,0.6,None,0.8036,0.8571,0.4,0.5,0.533333,0.433333,0.433333,1,1,1
11,0.6,20.0,0.8036,0.8491,0.366667,0.5,0.5,0.3,0.3,0,1,1
11,0.6,10.0,0.7925,0.78,0.5,0.5,0.5,0.466667,0.466667,0,1,1
11,0.6,5.0,0.7925,0.78,0.666667,0.5,0.5,0.5,0.5,0,1,1
11,0.6,0.0,0.7556,0.8667,0.866667,0.7,0.7,0.733333,0.7,0,1,1
